timestamp,id,open,high,low,close,volume,oi,ltp,bid,ask,bid_price,ask_price,bid_size,ask_size,vol_traded_today,last_traded_time,exch_feed_time,type,ch,chp,symbol,created_at,orb_time,pivot_time,pivot_high,pivot_low,pivot_direction,range_high,range_low
2025-12-08 09:15:00+05:30,94126,2100.0,2104.9,2074.4,2081.0,24593,,,,,,,,,,,,,,,NSE:BAJAJFINSV-EQ,2026-01-06 01:21:49,2025-12-08 09:30:00+05:30,,,,,2104.9,2074.4
2025-12-08 09:16:00+05:30,94127,2082.0,2085.9,2076.8,2082.4,8064,,,,,,,,,,,,,,,NSE:BAJAJFINSV-EQ,2026-01-06 01:21:49,2025-12-08 09:30:00+05:30,,,,,2104.9,2074.4
2025-12-08 09:17:00+05:30,94128,2082.0,2083.2,2080.0,2080.6,6472,,,,,,,,,,,,,,,NSE:BAJAJFINSV-EQ,2026-01-06 01:21:49,2025-12-08 09:30:00+05:30,,,,,2104.9,2074.4
2025-12-08 09:18:00+05:30,94129,2080.6,2082.9,2078.2,2082.7,5935,,,,,,,,,,,,,,,NSE:BAJAJFINSV-EQ,2026-01-06 01:21:49,2025-12-08 09:30:00+05:30,,,,,2104.9,2074.4
2025-12-08 09:19:00+05:30,94130,2082.7,2089.3,2081.0,2087.2,6319,,,,,,,,,,,,,,,NSE:BAJAJFINSV-EQ,2026-01-06 01:21:49,2025-12-08 09:30:00+05:30,,,,,2104.9,2074.4
2025-12-08 09:20:00+05:30,94131,2086.5,2092.1,2083.2,2091.6,5574,,,,,,,,,,,,,,,NSE:BAJAJFINSV-EQ,2026-01-06 01:21:49,2025-12-08 09:30:00+05:30,,,,,2104.9,2074.4
2025-12-08 09:21:00+05:30,94132,2091.6,2095.0,2091.6,2092.4,23004,,,,,,,,,,,,,,,NSE:BAJAJFINSV-EQ,2026-01-06 01:21:49,2025-12-08 09:30:00+05:30,,,,,2104.9,2074.4
2025-12-08 09:22:00+05:30,94133,2092.5,2093.4,2090.8,2092.1,2843,,,,,,,,,,,,,,,NSE:BAJAJFINSV-EQ,2026-01-06 01:21:49,2025-12-08 09:30:00+05:30,,,,,2104.9,2074.4
2025-12-08 09:23:00+05:30,94134,2093.2,2095.0,2090.5,2094.6,2837,,,,,,,,,,,,,,,NSE:BAJAJFINSV-EQ,2026-01-06 01:21:49,2025-12-08 09:30:00+05:30,,,,,2104.9,2074.4
2025-12-08 09:24:00+05:30,94135,2094.4,2094.4,2091.1,2091.1,1028,,,,,,,,,,,,,,,NSE:BAJAJFINSV-EQ,2026-01-06 01:21:49,2025-12-08 09:30:00+05:30,,,,,2104.9,2074.4
